mjd,aperture_sum_0,aperture_sum_1,aperture_sum_err_0,aperture_sum_err_1,bkg,fwhm,id,peak_flux,uncertainty,xcenter,ycenter
57799.6775752306,873067.275234375,913578.441171875,810.0203899473346,811.562068077281,532.8154975081784,5.549353803711983,1.0,627.6953125,27.28640365600586,911.4850866554381,245.65219459849277
57799.6783159673,866862.9590624999,908722.528671875,764.9161090420769,766.654940871084,531.2996536232758,5.933714678869805,1.0,638.533203125,27.47283935546875,911.3051765330586,245.78106245344836
57799.6790567189,864572.614375,906007.8650781249,762.2914887049335,763.9997173909469,522.9677735927936,6.214273136337039,1.0,611.62890625,27.383148193359375,911.666123550046,245.3844905672804
57799.6797974557,870148.90578125,910267.2559374999,785.1118472897153,786.6750335347124,513.9756427520447,6.079566833822442,1.0,592.078125,26.040616989135742,911.5030924709946,246.1980947969227
57799.6805381924,864980.145078125,904062.957578125,789.1262339083003,790.5965353854381,502.9625319178142,5.717362838414025,1.0,577.30078125,25.637643814086914,911.381847837438,245.8460746039598
57799.6812905073,861113.6976562499,901223.5303906249,762.9187042503571,764.5244627914419,503.1839148980585,6.177225013091377,1.0,602.517578125,28.299137115478516,911.8447947781036,245.58057596534377
57799.6820081025,859695.07484375,899516.07546875,771.1060558363278,772.6716932441433,504.25589692536516,6.109208645045639,1.0,589.24609375,25.75547981262207,911.556316104177,245.84180056808339
57799.6827604175,863244.36671875,901948.50765625,793.3618208002327,794.8038544395318,502.2475345201668,5.929664714097663,1.0,582.12890625,27.381208419799805,911.4035432777401,245.33745774234325
57799.6835011542,866156.9429687499,905063.161875,810.8766087628079,812.2992084633158,503.48396299256876,5.599251783702068,1.0,596.69921875,26.801433563232422,911.5112215041315,245.8843964729515
57799.6842418909,863099.6939062501,903150.200703125,768.5989137425962,770.1966318766098,499.2038805572394,6.154516640191446,1.0,586.853515625,26.389211654663086,912.0674631421318,245.65649555139626
57799.6849826425,865836.4232031251,904298.89171875,824.8246447473523,826.1926545229601,498.2053396600433,5.455185439424862,1.0,582.7109375,25.8352108001709,911.1169204051023,245.90051643136934
57799.6857233793,863803.826875,903124.37828125,786.5971924438537,788.0986531157904,500.7440210256337,5.546914133900096,1.0,585.896484375,26.909425735473633,911.6160699147243,245.52461687874265
57799.686464116,870614.568125,910814.1463281251,791.409270003695,792.9654490511555,518.9922229267977,5.8006235370029895,1.0,603.560546875,27.132978439331055,911.4176812066498,246.01204999261438
57799.6872164309,861800.15296875,901209.57421875,764.2621097149107,765.8122959379215,495.757807991358,6.257266362431997,1.0,601.447265625,26.52703094482422,911.7586880591201,245.7349375561506
57799.6879571825,857983.82734375,896631.4359375,750.2165628690178,751.7302088653216,482.48800286457623,6.395256149126561,1.0,590.53125,26.536144256591797,911.8143125443988,245.95833024609408
57799.688686341,858048.1153125,896561.856640625,765.6002598801433,767.0801437591376,482.6751173715176,5.92848357077149,1.0,564.546875,25.469554901123047,911.4124570439315,245.6903659716863
57799.6894270778,859863.299609375,896834.304453125,801.139015402617,802.4435506499353,476.11354331301686,5.7516560545286355,1.0,559.52734375,26.1097354888916,911.6000056052044,246.12794173674078
57799.6901793927,854267.90734375,892872.840078125,757.6666686291854,759.1660752469833,477.4707648821536,5.998486481385881,1.0,557.96875,27.71682357788086,911.5867562484183,245.68978214824782
57799.6909201443,858742.1909375,895937.5285937501,820.3448988069474,821.6256554586308,473.7085511168086,5.506661551909627,1.0,547.05859375,25.72323989868164,911.7138907524769,245.95604148517552
57799.6916493028,858262.4796093749,894955.155234375,821.3711694606085,822.6246274591659,469.0895912473423,5.383856975980629,1.0,552.02734375,25.589115142822266,911.8040467169844,245.9309037245227
57799.6923900396,862158.1682812499,899282.0335937501,821.0214022609306,822.2949754020308,478.1927662861048,5.566082836725688,1.0,581.587890625,27.334697723388672,911.6891660773138,246.0737375900731
57799.6931423545,862760.18375,899547.848125,797.9313211894805,799.2256133226124,474.84332920650775,6.009369789112978,1.0,568.189453125,27.43704605102539,911.3983264057373,245.2309823005692
57799.6938831061,860417.800546875,896292.6832812501,872.0516952967544,873.1762538729107,461.88188070724993,5.109388324312426,1.0,554.9453125,26.531085968017578,912.0796378420973,246.29908125913687
57799.694635421,859751.43625,896921.950234375,813.6569358577416,814.9495828726825,469.14944876168994,5.4827548267363255,1.0,572.23828125,27.603248596191406,911.5421705830793,245.68713145769556
57799.6953645796,860696.751171875,896876.459453125,815.3940417456836,816.6160158586141,468.9658047815653,5.920560260179645,1.0,561.5,25.97960662841797,911.5213825931695,245.89632920094434
57799.6961053312,858398.199296875,894987.42109375,798.1686279078845,799.4444023497978,471.7025299962409,6.056864289686438,1.0,573.08203125,27.078737258911133,911.7247948036387,245.7197633225883
57799.6968344897,860550.8164843749,897359.1246875,817.1460327184711,818.4083796002249,466.41838930654694,5.528202720266222,1.0,558.904296875,25.473154067993164,912.1260398525437,245.87993967877583
57799.6975868046,859924.1357812501,896684.235546875,807.046998753399,808.3207265792418,471.4729630315003,5.585297398424675,1.0,567.591796875,27.771312713623047,911.4229971284807,245.83514838460232
57799.6983275414,859654.3865625,895621.8589843749,833.9985013453879,835.1827225124858,464.32182981076085,5.480116364165214,1.0,550.126953125,25.393051147460938,911.7457077340041,245.87714797230797
57799.699068293,857341.225625,893505.560234375,788.8559898476922,790.1213042677458,464.18256025932675,5.983663088663165,1.0,570.634765625,25.40672492980957,911.7473972058233,245.91731534793902
57799.6998090297,857925.115078125,894289.0530468749,800.3073198341941,801.5676188699076,459.38573977501255,5.873707997854491,1.0,561.142578125,26.27570152282715,911.7600231050973,246.05493045712595
57799.7005613446,859939.2775,897307.847265625,791.2028882460436,792.5466280014911,475.4914649173924,5.523502886193042,1.0,555.3203125,27.25006103515625,911.4984793732918,245.69117119011244
57799.7012905031,855451.9703906251,892517.07515625,778.4604590196572,779.8080617397443,460.13303151962606,5.985369299420732,1.0,539.08203125,26.151525497436523,912.0803138618891,246.046877132119
57799.7020428181,853090.6581250001,889349.2606250001,787.067606253141,788.3405951269863,453.6405376899965,5.764592680487954,1.0,541.18359375,26.746540069580078,911.722046021246,246.24668287490383
57799.7027835697,858214.5131249999,893592.06640625,808.0978783712634,809.2823915690625,451.82050223112793,5.562464327771038,1.0,538.53515625,26.988615036010742,911.5990436204135,245.3053027800508
57799.7035127282,854910.9471093749,890735.579296875,785.5523063225185,786.7990920562431,436.60845630002757,6.194617350091635,1.0,545.90234375,27.07365608215332,912.7632954908823,246.2112724674995
57799.7042419016,853445.76609375,889037.9888281251,789.0205147259876,790.2462450552156,452.6743815044006,5.887679096424601,1.0,549.61328125,26.964462280273438,911.7494796847888,245.71814995513117
57799.7049826384,856321.769296875,891945.275703125,767.598610873752,768.8555021591368,441.6379312146723,6.3940466296577565,1.0,537.94140625,26.870649337768555,912.2039517341842,245.81188630609262
57799.7057233751,852015.58984375,888027.033125,752.5902365505613,753.9062313414323,442.53963937464965,6.5405037961774735,1.0,525.279296875,25.345848083496094,911.5922731575126,246.15797028243057
57799.70647569,850482.507578125,886712.2708593749,763.0387063618143,764.3557581085955,441.67195801970803,6.058923343326048,1.0,517.5390625,25.23845863342285,911.7529156096948,245.8710152447139
57799.7072164416,855232.1534375001,890099.836484375,805.7239931629297,806.8751545339564,441.49538949166714,6.106508452708271,1.0,529.498046875,25.22677993774414,911.7121067157221,246.27915592299536
57799.7079571784,853899.2166406249,888324.50546875,806.2676381036952,807.3911211656686,434.7193744163651,5.635084989465544,1.0,520.22265625,26.245990753173828,911.8810353818016,245.70727211859926
57799.7086979151,854094.258671875,888642.129296875,800.0424916846935,801.1813459731578,434.61713257431353,5.628518209104444,1.0,504.40625,26.134687423706055,911.6900793785434,245.9569825913334
57799.7094386518,856225.125390625,890680.3231249999,809.3654210900427,810.4896180436696,434.06369690930154,5.822908096490362,1.0,508.896484375,26.06545639038086,911.7365941535371,246.14687004470798
57799.7101794034,853124.304921875,888219.65296875,795.3478518018575,796.5261706124318,432.73937738009965,6.000078421603238,1.0,505.390625,24.586471557617188,911.5601631458072,246.2953231403452
57799.7109201401,850000.56703125,885415.0323437499,776.632717758873,777.8610544226312,430.0563324838737,6.163141947995519,1.0,510.751953125,25.210880279541016,912.4975395256889,245.94863899453287
