,z_a_flux,z_a_fwhm,z_a_x,z_a_y,z_b_flux,z_b_fwhm,z_b_x,z_b_y,z_c_flux,z_c_fwhm,z_c_x,z_c_y
2017-02-15 16:05:04.062411,1441428.16955,0.334908940892,38.9182019007,36.2378368846,1344165.11128,0.327915838591,38.9430262533,36.4126698632,967852.343817,0.331789269087,39.2676725972,37.8934761401
2017-02-15 16:06:07.244893,1421411.15606,2.95241624962,38.9262492377,35.9512002461,1316872.20835,0.327685861661,38.9498737142,36.1521080862,939480.641087,0.322953438906,39.2719972981,37.7512496237
2017-02-15 16:07:10.218455,1437130.61763,0.32749199188,38.8378131464,36.1414697074,1338391.7744,0.320491099698,38.8858526078,36.3140945821,962690.024708,0.319494486212,39.2159576601,37.8405749841
2017-02-15 16:08:13.682955,1421082.75291,0.329119620799,38.8789352135,35.9192610362,1313756.55692,0.319719480426,38.9219398145,36.1193807532,933733.618686,0.315363989651,39.2429418439,37.7311928092
2017-02-15 16:09:18.061724,1430314.24154,0.335883167244,38.8597442052,36.1443229691,1333494.05887,0.32712060405,38.8893873966,36.3020424863,955055.700354,0.323406725753,39.294714516,37.8326452491
2017-02-15 16:10:22.177076,1415438.70232,3.42727301217,38.9078112951,35.9023995032,1308717.43748,0.330739986181,38.9219606022,36.0980218245,928365.766964,0.322706829527,39.2567316339,37.7282151064
2017-02-15 16:11:26.369677,1432801.0543,619936.935165,38.9752291762,36.0753426818,1328749.5489,179696.012562,38.9918930169,36.2509646785,949777.718319,0.329968542357,39.2969758333,37.8057054184
2017-02-15 16:12:30.562193,1421278.55882,1.7294447001,38.9168783732,35.9883698885,1318130.36044,487479.720755,38.9547865905,36.1743141656,942491.800815,2.50457578375,39.2608688111,37.8061229485
2017-02-15 16:13:35.029911,1470393.37055,0.325962438261,38.9121204075,36.2780511566,1371482.83195,0.326786060251,38.9307194855,36.4637404824,992754.732959,0.315945142829,39.2751628427,37.9217953528
2017-02-15 16:14:39.323354,1430555.21969,0.338234518195,38.8912183106,36.0087913496,1325966.52295,0.33643856469,38.8958260312,36.1902240366,947903.714705,0.328753426223,39.2691506304,37.7791827127
2017-02-15 16:15:42.376017,1441814.28086,3.38569000469,38.8970498526,36.0788432249,1342839.25574,0.321699408458,38.9376054083,36.2466884376,961210.180878,0.325411988442,39.2542584472,37.7939180854
2017-02-15 16:16:46.274337,1433503.75469,5.06241829818,38.8458481643,36.0639892269,1329845.2168,0.324750760904,38.8877269831,36.2511931999,951234.81279,0.329748495769,39.2610519235,37.8021602779
2017-02-15 16:17:50.734003,1421817.31973,1.76180080498,38.9423770509,35.9723031896,1314348.85989,3.30587486512,38.9558608585,36.160575076,937448.313649,0.336081388129,39.290581627,37.7295652697
2017-02-15 16:18:54.381545,1424156.12408,1373892.22744,38.9155697543,36.0244505861,1327847.93404,0.327220398739,38.9340497801,36.2260587895,940703.780665,0.322611807018,39.2574047484,37.7803399225
2017-02-15 16:19:58.691102,1414052.28349,0.329685018768,38.8256575559,35.8956934583,1306055.97827,0.323736251746,38.9049797091,36.0710468575,923445.384675,0.332446320968,39.2473207242,37.6631076709
2017-02-15 16:21:03.139673,1403955.76235,5.07967370864,38.9626648815,35.8716860834,1299178.77046,3.21537799521,38.9832536516,36.0637047695,917870.813941,97473966.3612,39.343795156,37.6649099584
2017-02-15 16:22:05.990321,1405967.30167,4.99941627261,38.8707645917,35.9335667607,1303256.21862,2.24314909476,38.9255833696,36.0887847806,921959.153004,193957464.588,39.265971631,37.7351570964
2017-02-15 16:23:10.538895,1402100.83218,2.86605508324,38.8454546209,35.8106255571,1294614.79484,0.333920012018,38.8819454538,35.9960379967,914593.542664,0.329825868234,39.2394050229,37.6365693375
2017-02-15 16:24:14.075312,1413919.90224,0.325184923944,38.8506105641,35.9376860219,1310650.78754,0.319368830522,38.8979089723,36.0835609475,928065.783287,0.335077370747,39.2532855293,37.7349301923
2017-02-15 16:25:18.151276,1403531.52464,3.12112578977,39.0036416697,35.8398432192,1299294.73539,1.87588186147,39.0429468982,36.0601513439,922068.114978,268072954.72,39.3138895624,37.6788282006
2017-02-15 16:26:22.360442,1407782.08485,0.313399746649,38.7938073502,35.8728895666,1304124.63078,0.313582036877,38.8592013563,36.1057550034,920511.896575,0.319786115488,39.2414978993,37.6935243376
2017-02-15 16:27:26.861135,1405294.7395,4.71595206373,38.9391350669,35.7945303902,1297748.84077,0.323757445836,38.9415267017,35.990640145,913791.29689,0.318180838614,39.2857235331,37.6576071328
2017-02-15 16:28:30.496561,1428588.23225,0.324568400497,38.8804198975,36.0179361758,1325201.4773,0.321553190291,38.9312134393,36.1793113142,942204.666279,0.328276559197,39.2849933574,37.7487509146
2017-02-15 16:29:35.217128,1394407.38013,1.95212301194,38.9536475228,35.8401948814,1291336.53955,920438.296013,38.9680155413,36.021203969,913150.952571,0.328863923226,39.3066865835,37.662771503
2017-02-15 16:30:39.708707,1391835.30134,1.85636504635,38.9372502932,35.8227276799,1288399.77527,0.338824970105,38.9627434539,36.0259851686,906373.624489,15920035.1846,39.2918632349,37.6533708836
2017-02-15 16:31:42.433353,1380830.28138,0.33157069626,38.8766402845,35.7429967092,1274438.56852,0.322449377476,38.8860703338,35.921261665,888279.122973,0.317788046156,39.2811113397,37.603277903
2017-02-15 16:32:46.141765,1389555.53843,4.43798255877,38.8632170492,35.8154850693,1288207.75881,3.11186659385,38.9057125383,36.0147913056,902697.193605,0.321942543972,39.2766859633,37.6665716847
2017-02-15 16:33:51.620481,1374443.96969,2.88464945395,38.8947645864,35.6960349335,1266138.11477,0.331204642043,38.9247773476,35.9247474421,886505.203849,0.33340868705,39.2397507421,37.563714065
2017-02-15 16:34:55.367920,1385384.86212,2.88377393758,38.8769726763,35.7510117227,1285876.64058,2.77599801455,38.9118555788,35.9291603229,899474.798185,0.335457636234,39.2745566807,37.6288623865
2017-02-15 16:35:58.594572,1380065.87345,0.324991089253,38.9213004612,35.738875439,1278071.57002,0.316572930023,38.9347466178,35.9019457979,892792.623564,0.314457170331,39.2913708241,37.5998170581
2017-02-15 16:37:02.762006,1394227.80378,0.314178418921,38.9072764552,35.8148643083,1289034.15223,0.31894508908,38.9332137936,35.9953062978,907048.766631,0.313142470046,39.2867914282,37.6467374683
2017-02-15 16:38:07.355697,1373581.23019,1.61398261075,38.8373174449,35.5993486747,1268346.6811,0.334265503757,38.8891365364,35.7757808745,880505.051629,30.0426436328,39.238479884,37.553464273
2017-02-15 16:39:11.712148,1387578.8898,0.322303755831,38.9832121412,35.79179999,1288756.5442,0.313759590016,38.9704295529,35.9972170189,904361.564247,0.30532932489,39.2989718144,37.6363627394
